u,mode_n1,mode_n2,mode_n3,mode_n4,mode_n5,mode_n6
0.146037,-1.23081057e-02,-9.99440025e-03,-4.24386794e-03,4.06683199e-03,1.27131552e-02,-2.01169423e-02
0.147037,-1.22604365e-02,-9.88228290e-03,-4.03818865e-03,4.35592014e-03,1.30257807e-02,-2.03474553e-02
0.148037,-1.22127483e-02,-9.76968789e-03,-3.83228774e-03,4.64415313e-03,1.33340489e-02,-2.05698765e-02
0.149037,-1.21650177e-02,-9.65666190e-03,-3.62611622e-03,4.93139098e-03,1.36381202e-02,-2.07838625e-02
0.150038,-1.21172119e-02,-9.54326076e-03,-3.41959735e-03,5.21745129e-03,1.39381979e-02,-2.09888688e-02
0.151038,-1.20693124e-02,-9.42951133e-03,-3.21269618e-03,5.50222636e-03,1.42343663e-02,-2.11846036e-02
0.152038,-1.20213259e-02,-9.31539063e-03,-3.00545351e-03,5.78573904e-03,1.45264906e-02,-2.13712307e-02
0.153038,-1.19732767e-02,-9.20084111e-03,-2.79796166e-03,6.06810344e-03,1.48142841e-02,-2.15492393e-02
0.154039,-1.19251840e-02,-9.08580574e-03,-2.59030005e-03,6.34941238e-03,1.50974506e-02,-2.17190138e-02
0.155039,-1.18770440e-02,-8.97027530e-03,-2.38248212e-03,6.62966919e-03,1.53759628e-02,-2.18806986e-02
0.156039,-1.18288271e-02,-8.85428112e-03,-2.17444552e-03,6.90875314e-03,1.56499776e-02,-2.20339651e-02
0.157039,-1.17804939e-02,-8.73786889e-03,-1.96610009e-03,7.18650179e-03,1.59197300e-02,-2.21783234e-02
0.158040,-1.17320176e-02,-8.62105955e-03,-1.75739206e-03,7.46281641e-03,1.61853520e-02,-2.23134982e-02
0.159040,-1.16833955e-02,-8.50382701e-03,-1.54834036e-03,7.73772174e-03,1.64467661e-02,-2.24396450e-02
0.160040,-1.16346438e-02,-8.38610499e-03,-1.33901945e-03,8.01133260e-03,1.67037005e-02,-2.25572167e-02
0.161040,-1.15857792e-02,-8.26783012e-03,-1.12950624e-03,8.28378000e-03,1.69559209e-02,-2.26667688e-02
0.162041,-1.15367983e-02,-8.14897425e-03,-9.19819120e-04,8.55510262e-03,1.72033601e-02,-2.27685366e-02
0.163041,-1.14876719e-02,-8.02955229e-03,-7.09901677e-04,8.82521662e-03,1.74461506e-02,-2.28623103e-02
0.164041,-1.14383571e-02,-7.90960304e-03,-4.99657055e-04,9.09397361e-03,1.76845439e-02,-2.29476447e-02
0.165041,-1.13888174e-02,-7.78915237e-03,-2.89007700e-04,9.36125801e-03,1.79187390e-02,-2.30242014e-02
0.166042,-1.13390376e-02,-7.66818297e-03,-7.79396575e-05,9.62705657e-03,1.81487323e-02,-2.30919843e-02
0.167042,-1.12890259e-02,-7.54663616e-03,1.33492413e-04,9.89147163e-03,1.83743342e-02,-2.31514172e-02
0.168042,-1.12387997e-02,-7.42444317e-03,3.45208431e-04,1.01546536e-02,1.85953176e-02,-2.32031262e-02
0.169042,-1.11883629e-02,-7.30155443e-03,5.57165909e-04,1.04166877e-02,1.88115328e-02,-2.32474979e-02
0.170043,-1.11376958e-02,-7.17796346e-03,7.69391539e-04,1.06775451e-02,1.90230295e-02,-2.32845227e-02
0.171043,-1.10867586e-02,-7.05370002e-03,9.81969975e-04,1.09371011e-02,1.92300271e-02,-2.33138493e-02
0.172043,-1.10355083e-02,-6.92879932e-03,1.19499633e-03,1.11952106e-02,1.94327704e-02,-2.33350436e-02
0.173043,-1.09839151e-02,-6.80326648e-03,1.40852332e-03,1.14517924e-02,1.96313599e-02,-2.33478788e-02
0.174044,-1.09319786e-02,-6.67707200e-03,1.62252516e-03,1.17069012e-02,1.98257488e-02,-2.33526494e-02
0.175044,-1.08797134e-02,-6.55015103e-03,1.83692829e-03,1.19606624e-02,2.00157095e-02,-2.33498836e-02
0.176044,-1.08271344e-02,-6.42243953e-03,2.05165795e-03,1.22132006e-02,2.02010100e-02,-2.33401205e-02
0.177044,-1.07742399e-02,-6.29390495e-03,2.26668751e-03,1.24645587e-02,2.03815565e-02,-2.33236210e-02
0.178045,-1.07210055e-02,-6.16455789e-03,2.48205715e-03,1.27146658e-02,2.05574498e-02,-2.33002510e-02
0.179045,-1.06673888e-02,-6.03443180e-03,2.69785532e-03,1.29633613e-02,2.07288858e-02,-2.32695383e-02
0.180045,-1.06133554e-02,-5.90357049e-03,2.91415686e-03,1.32105125e-02,2.08961181e-02,-2.32311439e-02
0.181045,-1.05588877e-02,-5.77198092e-03,3.13098517e-03,1.34560609e-02,2.10592169e-02,-2.31849706e-02
0.182046,-1.05039909e-02,-5.63962953e-03,3.34829562e-03,1.37000536e-02,2.12180545e-02,-2.31312962e-02
0.183046,-1.04486853e-02,-5.50645817e-03,3.56599966e-03,1.39426043e-02,2.13723769e-02,-2.30706457e-02
0.184046,-1.03929897e-02,-5.37241429e-03,3.78401320e-03,1.41838142e-02,2.15219430e-02,-2.30035144e-02
0.185046,-1.03369039e-02,-5.23747282e-03,4.00230249e-03,1.44236905e-02,2.16666225e-02,-2.29300693e-02
0.186047,-1.02804096e-02,-5.10165962e-03,4.22089511e-03,1.46621411e-02,2.18065180e-02,-2.28501505e-02
0.187047,-1.02234755e-02,-4.96502769e-03,4.43985813e-03,1.48990025e-02,2.19418500e-02,-2.27633440e-02
0.188047,-1.01660719e-02,-4.82762545e-03,4.65925177e-03,1.51341126e-02,2.20728083e-02,-2.26692323e-02
