u,mode_n1,mode_n3,mode_n4,mode_n6,mode_n7,mode_n11
0.859215,2.37951037e-03,2.14710352e-02,-1.20353521e-02,1.81410122e-02,1.72785529e-02,-4.70368874e-03
0.860215,2.38523641e-03,2.14281358e-02,-1.20589284e-02,1.81389758e-02,1.74002775e-02,-4.68192846e-03
0.861215,2.39016852e-03,2.13852187e-02,-1.20802022e-02,1.81375349e-02,1.75202658e-02,-4.65975366e-03
0.862216,2.39425999e-03,2.13423196e-02,-1.20992869e-02,1.81366207e-02,1.76385580e-02,-4.63705551e-03
0.863216,2.39747668e-03,2.12994733e-02,-1.21163034e-02,1.81361830e-02,1.77552157e-02,-4.61384350e-03
0.864216,2.39980996e-03,2.12567035e-02,-1.21314883e-02,1.81360415e-02,1.78702889e-02,-4.58977398e-03
0.865216,2.40125239e-03,2.12140353e-02,-1.21450313e-02,1.81360833e-02,1.79838406e-02,-4.56475903e-03
0.866217,2.40177442e-03,2.11714942e-02,-1.21570556e-02,1.81362181e-02,1.80958828e-02,-4.53876701e-03
0.867217,2.40140523e-03,2.11290916e-02,-1.21678555e-02,1.81362306e-02,1.82064786e-02,-4.51148883e-03
0.868217,2.40014837e-03,2.10868416e-02,-1.21776315e-02,1.81359675e-02,1.83156498e-02,-4.48279730e-03
0.869217,2.39800564e-03,2.10447565e-02,-1.21865446e-02,1.81353062e-02,1.84234043e-02,-4.45268109e-03
0.870218,2.39502046e-03,2.10028364e-02,-1.21948828e-02,1.81340179e-02,1.85297740e-02,-4.42087089e-03
0.871218,2.39122399e-03,2.09610813e-02,-1.22028867e-02,1.81319003e-02,1.86347625e-02,-4.38719296e-03
0.872218,2.38664502e-03,2.09194892e-02,-1.22107242e-02,1.81288199e-02,1.87383654e-02,-4.35167280e-03
0.873218,2.38133060e-03,2.08780506e-02,-1.22186597e-02,1.81245368e-02,1.88405659e-02,-4.31408890e-03
0.874219,2.37535373e-03,2.08367474e-02,-1.22269606e-02,1.81188322e-02,1.89413762e-02,-4.27426047e-03
0.875219,2.36875077e-03,2.07955666e-02,-1.22358060e-02,1.81115242e-02,1.90407409e-02,-4.23216111e-03
0.876219,2.36159300e-03,2.07544843e-02,-1.22454052e-02,1.81024297e-02,1.91386432e-02,-4.18772426e-03
